steamId,price,copiesSold,publisherClass,reviewScore,aiContent
1086410,9.99,59688,Indie,Very Positive,
931650,0.0,59685,Indie,Mixed,
1389630,0.0,59679,Hobbyist,Overwhelmingly Positive,
2878960,59.99,59672,AAA,Mixed,
851110,0.0,59668,Indie,Mixed,
1970980,19.99,59666,Indie,Very Positive,
2138700,0.0,59664,Hobbyist,Very Positive,
556820,0.0,59655,Hobbyist,Mostly Positive,
1786200,19.99,59648,Indie,Mixed,
587220,19.99,59633,Indie,Overwhelmingly Positive,
850450,5.99,59626,Indie,Mixed,
2491360,0.0,59617,Indie,Very Positive,
1515230,4.99,59597,Indie,Mostly Positive,
2172010,59.99,59594,AAA,Very Positive,
1851280,9.99,59588,AA,Very Positive,
1254320,19.99,59570,Indie,Mixed,
2490990,59.99,59558,AA,Mostly Positive,
442500,7.99,59557,Indie,Mostly Positive,
1432320,15.99,59544,Indie,Very Positive,
3169620,0.0,59544,Hobbyist,Mostly Positive,
252550,9.99,59541,Indie,Very Positive,
1114260,0.0,59535,Hobbyist,Very Positive,
930910,0.0,59522,AA,Overwhelmingly Positive,
603260,1.99,59510,Indie,Very Positive,
364050,3.99,59484,Indie,Mostly Positive,
431180,19.99,59432,Indie,Very Positive,
321270,4.99,59432,Indie,Mostly Positive,
7110,14.99,59426,Indie,Mostly Positive,
3046430,0.0,59421,Hobbyist,Mostly Positive,
435440,0.0,59401,Indie,Mixed,
1678150,0.0,59382,Indie,Mostly Positive,
285820,14.99,59378,Indie,Very Positive,
392580,9.99,59377,Indie,Mostly Positive,
809020,11.99,59346,Indie,Overwhelmingly Positive,
209230,9.99,59341,Indie,Very Positive,
3153190,0.0,59248,Indie,Overwhelmingly Positive,
260160,19.99,59220,AA,Very Positive,
674930,19.99,59215,Indie,Very Positive,
675630,0.0,59212,Hobbyist,Mixed,
1373780,0.0,59182,Indie,Very Positive,
1269150,0.0,59181,Indie,Very Positive,
1337890,4.99,59156,Indie,Very Positive,
219190,12.99,59148,Indie,Very Positive,
1574310,19.99,59120,Indie,Very Positive,
207420,2.99,59094,Indie,Mostly Positive,
542780,0.0,59064,Hobbyist,Mostly Negative,
2316330,0.0,59050,Indie,Overwhelmingly Positive,
399890,14.99,59026,Indie,Very Positive,
253860,6.99,59026,Indie,Mixed,
1520380,4.99,59018,Indie,Mostly Positive,
1716120,29.99,58989,AA,Very Positive,
1341200,59.99,58979,AA,Mixed,
393980,4.99,58978,Indie,Mostly Positive,
105800,9.99,58972,Indie,Mostly Positive,
1167750,49.99,58971,AAA,Mostly Positive,
3028310,19.99,58961,AA,Very Positive,
2219470,0.0,58957,Hobbyist,Very Positive,
214550,6.99,58932,AA,Very Positive,
6980,8.99,58894,AA,Very Positive,
339580,9.99,58886,AA,Mostly Positive,
310890,9.99,58865,AA,Mixed,
402040,9.99,58853,AA,Mostly Positive,
8400,3.99,58830,AAA,Very Positive,
620190,19.99,58813,Indie,Mostly Positive,
551770,24.99,58757,Indie,Mostly Positive,
1776380,59.99,58753,AA,Mixed,
736850,19.99,58734,Indie,Mostly Positive,
2053940,10.99,58716,Indie,Very Positive,
384740,9.99,58706,Indie,Mostly Positive,
1164250,19.99,58683,Indie,Mostly Positive,
245300,19.99,58682,AA,Mostly Positive,
6040,5.99,58665,AA,Very Positive,
1582570,0.0,58659,Hobbyist,Very Positive,
429720,3.99,58657,Indie,Very Positive,
3074340,0.0,58652,Indie,Very Positive,
359600,9.99,58630,AA,Mixed,
2969160,6.99,58600,Indie,Very Positive,
2313330,29.99,58593,Indie,Mixed,
2088270,0.0,58593,Hobbyist,Overwhelmingly Positive,
300580,19.99,58576,Indie,Mostly Positive,
770500,0.0,58564,Hobbyist,Mostly Positive,
1532770,6.99,58562,Indie,Very Positive,
374190,19.99,58493,Indie,Very Positive,
2589670,0.0,58478,Indie,Very Positive,
1364800,0.0,58478,Hobbyist,Mostly Positive,
509250,19.99,58477,Indie,Very Positive,
2551170,0.99,58466,Indie,Overwhelmingly Positive,
11340,4.99,58451,Indie,Mostly Positive,
1393750,14.99,58432,Indie,Very Positive,
252310,9.99,58414,Indie,Very Positive,
1735420,4.99,58413,Indie,Mixed,
270110,4.99,58409,Indie,Very Positive,
1289340,11.99,58404,Indie,Very Positive,
748370,24.99,58399,Indie,Mostly Positive,
1489970,29.99,58396,Indie,Mostly Positive,
1279630,12.99,58389,Indie,Mostly Positive,
201420,14.99,58388,Indie,Very Positive,
691320,19.99,58376,Indie,Very Positive,
15190,9.99,58374,AAA,Very Positive,
588730,5.99,58365,Indie,Overwhelmingly Positive,
1377450,0.0,58327,Indie,Very Positive,
1689910,19.99,58281,Indie,Very Positive,
2657120,9.99,58280,Indie,Mixed,
1726120,19.99,58274,Indie,Mostly Positive,
1549690,14.99,58262,Indie,Very Positive,
2271930,19.99,58251,Indie,Mostly Positive,
2063680,0.0,58223,Hobbyist,Very Positive,
368610,9.99,58219,Indie,Very Positive,
447890,4.99,58212,Indie,Very Positive,
547910,4.99,58206,Indie,Mostly Positive,
245150,4.99,58176,Indie,Mostly Positive,
2590,4.99,58176,AAA,Mixed,
466130,29.99,58166,Indie,Very Positive,
2071500,29.99,58156,AA,Mostly Positive,
310700,7.99,58138,Indie,Very Positive,
1691280,0.0,58126,Indie,Mixed,
1222300,19.99,58111,AA,Very Positive,
345200,7.99,58109,Indie,Very Positive,
616830,0.0,58104,Hobbyist,Mixed,
659190,6.99,58095,Indie,Mostly Positive,
402750,19.99,58093,Indie,Mostly Positive,
398840,0.0,58060,Hobbyist,Mixed,
2142160,9.99,58047,Indie,Very Positive,
1177660,10.99,58018,Indie,Very Positive,
2051500,0.0,58014,Hobbyist,Very Positive,
1640,5.99,58007,Indie,Very Positive,
1040070,14.99,57996,Indie,Very Positive,
399790,1.99,57996,Indie,Mixed,
824720,14.99,57990,Indie,Very Positive,
403900,1.99,57976,Indie,Mixed,
1046470,0.0,57972,Hobbyist,Mostly Positive,
375510,1.99,57960,Indie,Mixed,
765870,29.99,57878,Indie,Very Positive,
2017080,49.99,57863,Indie,Mostly Positive,
1049400,0.0,57859,Hobbyist,Very Positive,
220090,6.99,57851,Indie,Very Positive,
339350,6.99,57845,Indie,Overwhelmingly Positive,
252230,29.99,57843,AA,Mixed,
851530,0.0,57838,Indie,Very Positive,
823950,24.99,57837,AA,Mixed,
283230,2.99,57828,AA,Mostly Positive,
556240,2.99,57826,Indie,Very Positive,
1402120,19.99,57819,Indie,Mostly Positive,
783240,0.0,57808,Hobbyist,Mostly Negative,
2175780,0.0,57789,Hobbyist,Mixed,
1379830,1.99,57784,Indie,Mostly Positive,
20550,9.99,57780,AAA,Mixed,
789100,0.0,57771,Indie,Mixed,
2214500,0.0,57753,Indie,Very Positive,
879510,7.99,57722,Indie,Very Positive,
1754870,29.99,57700,Indie,Mostly Positive,
722230,29.99,57697,AAA,Mixed,
3062410,0.0,57695,Hobbyist,Mixed,
3402530,0.99,57691,Indie,Very Positive,
477270,3.99,57671,Indie,Mostly Positive,
897820,3.99,57669,AA,Mostly Positive,
663690,0.0,57664,Indie,Very Positive,
326340,19.99,57656,Indie,Mixed,
1491000,0.0,57631,AA,Mixed,
2196790,6.99,57626,Indie,Very Positive,
1144800,0.0,57611,Hobbyist,Very Positive,
624460,0.0,57603,Hobbyist,Overwhelmingly Positive,
628080,39.99,57601,AA,Mostly Positive,
2182400,4.99,57581,AA,Overwhelmingly Positive,
3068300,0.0,57552,Hobbyist,Overwhelmingly Positive,
447120,19.99,57549,AA,Mostly Positive,
1127700,24.99,57539,AA,Mostly Positive,
1022310,29.99,57528,Indie,Mixed,
2126680,14.99,57517,Indie,Very Positive,
227060,14.99,57516,Indie,Mixed,
303790,6.99,57495,AAA,Mostly Positive,
24670,9.99,57488,Indie,Mostly Positive,
473770,14.99,57478,Indie,Very Positive,
1611410,12.99,57476,Indie,Very Positive,
1427340,19.99,57400,Indie,Mostly Positive,
1339000,9.99,57385,Indie,Very Positive,
1849000,6.99,57378,Indie,Very Positive,
322900,6.99,57377,Indie,Mixed,
1433340,19.99,57376,AA,Very Positive,
788470,0.0,57366,Indie,Mixed,
1843940,39.99,57318,Indie,Very Positive,
314070,12.99,57315,AAA,Very Positive,
995980,19.99,57309,AA,Very Positive,
816350,0.0,57306,Indie,Very Positive,
1566410,14.99,57295,Indie,Overwhelmingly Positive,
1849790,19.99,57293,Indie,Very Positive,
936720,29.99,57274,Indie,Very Positive,
2570210,19.99,57266,Indie,Very Positive,
773670,1.99,57266,Indie,Overwhelmingly Positive,
382300,2.99,57226,Indie,Mixed,
1863750,1.99,57207,Indie,Very Positive,
845890,29.99,57188,AAA,Very Positive,
1249040,19.99,57182,AA,Very Positive,
628060,29.99,57179,AA,Very Positive,
289600,9.99,57177,Indie,Mostly Positive,
63800,4.99,57151,Indie,Mixed,
615530,9.99,57144,Indie,Very Positive,
1556100,39.99,57116,Indie,Mostly Positive,
318130,9.99,57095,Indie,Overwhelmingly Positive,
209790,9.99,57076,Indie,Very Positive,
269270,2.99,57068,Indie,Very Positive,
496620,8.99,57065,Indie,Mostly Positive,
1990110,19.99,57062,Indie,Very Positive,
65740,32.99,57060,AAA,Mixed,
1047220,4.99,57057,Indie,Overwhelmingly Positive,
1868000,16.99,57023,Indie,Mostly Positive,
296050,2.99,57023,Indie,Mostly Positive,
270050,4.99,57007,Indie,Mostly Positive,
2612680,0.0,56999,Indie,Overwhelmingly Positive,
913010,0.0,56992,Indie,Overwhelmingly Positive,
207930,9.99,56987,AA,Mixed,
1567420,0.0,56986,Hobbyist,Very Positive,
45450,1.99,56956,Indie,Very Positive,
1962890,14.99,56943,Indie,Very Positive,
2608350,7.99,56938,Indie,Overwhelmingly Positive,
41800,14.99,56938,Indie,Mostly Positive,
247350,6.99,56926,Hobbyist,Very Positive,
1198730,0.99,56923,Indie,Very Positive,
452490,0.0,56918,Hobbyist,Very Positive,
333300,14.99,56910,Indie,Very Positive,
324260,14.99,56898,Indie,Mostly Positive,
1392960,39.99,56894,AA,Very Positive,
523000,19.99,56877,Indie,Very Positive,
467660,19.99,56874,Indie,Mostly Positive,
939100,14.99,56872,AA,Mixed,
2782530,0.0,56816,Hobbyist,Very Positive,
698870,14.99,56799,Indie,Mostly Positive,
587110,24.99,56796,AA,Very Positive,
368430,19.99,56759,AA,Mostly Positive,
1507580,24.99,56756,Indie,Overwhelmingly Positive,
1274490,5.99,56752,Indie,Very Positive,
6920,6.99,56738,AA,Mixed,
1116540,24.99,56722,Indie,Very Positive,
230860,14.99,56715,Indie,Very Positive,
349790,0.0,56712,AAA,Mostly Positive,
437630,19.99,56695,AA,Mostly Positive,
1630290,0.0,56687,Indie,Very Positive,
1648590,7.99,56658,Indie,Very Positive,
1491340,19.99,56625,Indie,Very Positive,
644540,0.0,56592,Indie,Very Positive,
2178070,29.99,56590,Indie,Mixed,
2190220,29.99,56586,Indie,Very Positive,
427980,4.99,56583,Indie,Mostly Positive,
501930,0.0,56555,Hobbyist,Mostly Positive,
547960,0.99,56551,Indie,Mixed,
1299120,2.99,56518,Indie,Overwhelmingly Positive,
1389550,16.99,56507,Indie,Mostly Positive,
351790,0.0,56505,Hobbyist,Mostly Positive,
1671410,19.99,56478,Indie,Mixed,
366870,14.99,56475,Indie,Mostly Positive,
2902000,0.0,56463,Hobbyist,Very Positive,
232970,9.99,56459,Indie,Very Positive,
2346660,0.0,56441,Hobbyist,Overwhelmingly Positive,
730830,6.99,56424,AA,Mixed,
1140890,24.99,56414,Indie,Mostly Positive,
259510,9.99,56401,Indie,Very Positive,
289300,4.99,56400,AA,Very Positive,
277870,1.99,56400,Indie,Mostly Positive,
751690,0.0,56373,Hobbyist,Very Positive,
219700,0.0,56344,AA,Mixed,
229520,2.99,56329,AA,Mixed,
1139800,1.99,56326,AA,Very Positive,
283290,2.99,56291,Indie,Very Positive,
1491670,14.99,56283,Indie,Very Positive,
410670,0.99,56280,Indie,Very Positive,
342300,6.99,56278,Indie,Very Positive,
1140150,29.99,56244,Indie,Very Positive,
684580,9.99,56242,Indie,Mixed,
876650,14.99,56237,Indie,Very Positive,
1451810,29.99,56182,AAA,Mixed,
1769420,24.99,56177,Indie,Very Positive,
407230,1.99,56154,Indie,Mostly Positive,
2230170,0.0,56136,Indie,Mixed,
1266030,19.99,56128,Indie,Very Positive,
680310,0.0,56120,Indie,Mixed,
771060,0.0,56112,Hobbyist,Mostly Positive,
604490,0.99,56099,Indie,Mostly Positive,
2419090,19.99,56091,Indie,Very Positive,
898650,14.99,56088,Indie,Mostly Positive,
620620,0.0,56066,Indie,Very Positive,
332480,0.99,56066,Indie,Very Positive,
2905970,0.0,56065,Indie,Very Positive,
380220,19.99,56048,Indie,Mixed,
550080,29.99,56043,Indie,Very Positive,
975470,24.99,56007,Indie,Mostly Positive,
1712350,34.99,55969,Indie,Very Positive,
304670,2.99,55951,Indie,Mostly Positive,
772430,9.99,55917,Indie,Mostly Positive,
1025440,39.99,55891,AA,Very Positive,
1147030,0.0,55890,Indie,Very Positive,
253290,14.99,55887,Indie,Very Positive,
1266540,24.99,55886,Indie,Mixed,
2814910,0.0,55876,Indie,Overwhelmingly Positive,
949290,14.99,55842,Indie,Very Positive,
1384770,9.99,55842,Indie,Very Positive,
384680,3.99,55824,Indie,Very Positive,
279940,29.99,55822,AA,Very Positive,
410980,5.99,55815,Indie,Overwhelmingly Positive,
431590,4.99,55807,Indie,Very Positive,
1368860,0.0,55798,Indie,Overwhelmingly Positive,
497400,0.99,55759,Indie,Mostly Positive,
328270,4.99,55754,Indie,Very Positive,
801800,49.99,55724,AA,Mostly Positive,
1765350,10.99,55712,Indie,Overwhelmingly Positive,
1003090,14.99,55621,Indie,Very Positive,
1155590,0.0,55620,Indie,Very Positive,
1709920,0.0,55613,Indie,Mixed,
2246110,8.99,55576,Indie,Very Positive,
917150,26.99,55570,Indie,Mostly Positive,
1858650,14.99,55546,Indie,Very Positive,
3243190,8.99,55535,Indie,Overwhelmingly Positive,
301840,19.99,55533,Indie,Mostly Positive,
1550710,9.99,55533,Indie,Mixed,
559610,9.99,55531,Indie,Very Positive,
294020,14.99,55501,Indie,Mixed,
975680,19.99,55483,Indie,Mixed,
1420290,19.99,55479,AA,Very Positive,
483770,19.99,55462,Indie,Mixed,
544390,19.99,55422,Indie,Very Positive,
2233120,29.99,55415,Indie,Mostly Positive,
1089650,0.0,55413,Hobbyist,Mostly Positive,
754150,19.99,55411,Indie,Overwhelmingly Positive,
1330660,19.99,55389,AA,Mixed,
2594540,17.99,55377,Indie,Very Positive,
1406850,19.99,55371,Indie,Overwhelmingly Positive,
255390,14.99,55356,AAA,Very Positive,
206690,5.99,55351,Indie,Very Positive,
391420,1.99,55346,Indie,Mostly Positive,
2081400,24.99,55329,Indie,Very Positive,
398100,14.99,55328,Indie,Mostly Positive,
1245540,7.99,55327,Indie,Very Positive,
1602080,39.99,55325,Indie,Mostly Positive,
2124420,10.0,55319,Indie,Mostly Positive,
2857880,12.99,55312,Indie,Mostly Positive,
448370,5.99,55307,Indie,Very Positive,
994190,0.0,55307,Hobbyist,Mostly Positive,
2088840,4.99,55306,Indie,Overwhelmingly Positive,
758990,12.99,55298,Indie,Overwhelmingly Positive,
276890,7.99,55276,Indie,Very Positive,
1011510,0.0,55275,Indie,Very Positive,
2434340,0.0,55275,Hobbyist,Overwhelmingly Positive,
978270,0.0,55242,Hobbyist,Very Positive,
1574900,19.99,55241,Indie,Very Positive,
1008580,0.0,55235,Hobbyist,Mostly Positive,
672730,0.0,55223,Hobbyist,Very Positive,
1931730,24.99,55219,Indie,Mixed,
843200,19.99,55214,AA,Very Positive,
2460070,10.99,55203,Indie,Very Positive,
552440,29.99,55175,AA,Very Positive,
1069690,24.99,55164,AA,Mostly Positive,
1368130,29.99,55152,Indie,Mixed,
311480,6.99,55146,Indie,Very Positive,
1452830,0.0,55143,Hobbyist,Very Positive,
1814010,7.99,55137,Indie,Very Positive,
6870,6.99,55131,AA,Mostly Positive,
773520,0.0,55125,Hobbyist,Mixed,
951430,17.99,55095,Indie,Mostly Positive,
515020,0.0,55058,Hobbyist,Very Positive,
1515640,0.0,55055,Indie,Mostly Positive,
99100,14.99,55051,Indie,Mostly Negative,
1562260,4.99,55047,Indie,Mixed,
2314720,7.99,55027,Indie,Very Positive,
1231880,19.99,54999,Indie,Very Positive,
840010,19.99,54995,Indie,Very Positive,
1610470,39.99,54985,AA,Very Positive,
2701510,0.0,54985,Indie,Very Positive,
621880,0.0,54984,Hobbyist,Mixed,
281200,9.99,54976,Indie,Mixed,
989690,19.99,54933,AA,Mixed,
337360,4.99,54920,AAA,Mixed,
70120,0.99,54901,Indie,Mostly Negative,
252170,4.99,54901,AA,Mostly Positive,
1843030,0.0,54887,Hobbyist,Very Positive,
679110,29.99,54876,AA,Mixed,
1091920,4.99,54872,Indie,Overwhelmingly Positive,
1584940,22.99,54857,Indie,Mostly Positive,
1932570,9.99,54848,Indie,Overwhelmingly Positive,
589530,9.99,54843,Indie,Very Positive,
2242710,34.99,54840,Indie,Very Positive,
1769170,9.99,54808,Indie,Overwhelmingly Positive,
2323080,0.0,54805,Hobbyist,Mixed,
340070,1.99,54792,Indie,Mixed,
492150,0.0,54776,Hobbyist,Mostly Positive,
449020,0.0,54773,Hobbyist,Very Positive,
2904320,0.0,54770,Indie,Very Positive,
2154230,4.99,54743,AA,Mixed,
11240,4.99,54737,Indie,Mixed,
1026840,0.0,54712,Hobbyist,Overwhelmingly Positive,
1612810,0.0,54708,Indie,Mostly Positive,
1409770,14.99,54688,Indie,Very Positive,
1273260,19.99,54681,AA,Very Positive,
655790,2.99,54672,Indie,Mixed,
1848450,4.99,54668,Indie,Overwhelmingly Positive,
370280,2.99,54667,Indie,Very Positive,
676820,5.99,54652,Indie,Overwhelmingly Positive,
415030,4.99,54650,Indie,Mostly Positive,
485890,0.99,54618,Indie,Mixed,
369420,14.99,54616,Indie,Very Positive,
457960,10.99,54615,Indie,Very Positive,
1582680,10.99,54610,Indie,Mixed,
389510,3.99,54602,Indie,Very Positive,
1694200,0.0,54583,Indie,Mixed,
1140740,0.0,54567,Hobbyist,Mostly Positive,
1922010,29.99,54564,Indie,Very Positive,
1460830,0.0,54549,Hobbyist,Very Positive,
293680,19.99,54514,Indie,Very Positive,
1151450,59.99,54495,Indie,Very Positive,
1591530,59.99,54492,AA,Very Positive,
2824230,0.0,54484,Hobbyist,Overwhelmingly Positive,
881690,9.99,54465,Indie,Mostly Positive,
259600,6.99,54454,Indie,Very Positive,
1315980,19.99,54453,Indie,Very Positive,
1709500,1.99,54453,Indie,Very Positive,
211360,7.99,54451,Indie,Very Positive,
1338330,14.99,54440,Indie,Very Positive,
267360,9.99,54438,Indie,Very Positive,
553260,14.99,54431,AA,Mixed,
275530,6.99,54422,AA,Mostly Positive,
1541250,0.0,54416,Hobbyist,Very Positive,
262790,14.99,54411,Indie,Very Positive,
258010,4.99,54405,Indie,Very Positive,
741260,3.99,54398,AA,Mixed,
399430,4.99,54376,Indie,Mixed,
597150,4.99,54350,Indie,Very Positive,
1359120,14.99,54324,Indie,Very Positive,
271360,9.99,54320,AA,Very Positive,
292180,0.0,54275,Indie,Mostly Positive,
3022640,0.0,54267,Indie,Very Positive,
3071740,0.0,54223,Indie,Mixed,
429620,14.99,54210,Indie,Mixed,
898720,19.99,54206,Indie,Very Positive,
417880,19.99,54204,AAA,Mixed,
1983710,8.99,54199,Indie,Very Positive,
3013470,0.0,54176,Hobbyist,Mixed,
263100,0.0,54136,Hobbyist,Very Positive,
1707650,13.99,54120,Indie,Very Positive,
754350,0.0,54118,Hobbyist,Mixed,
642560,1.99,54099,Indie,Very Positive,
914020,19.99,54098,Indie,Very Positive,
289760,6.99,54091,Indie,Mostly Positive,
266230,9.99,54060,Indie,Very Positive,
1240290,0.0,54059,Indie,Mixed,
21010,4.99,54047,AAA,Mostly Positive,
560430,5.99,54047,AA,Very Positive,
1419370,0.0,54014,Indie,Very Positive,
460060,0.0,54009,Indie,Very Positive,
526790,0.99,54001,Indie,Mixed,
481110,14.99,53921,Indie,Mostly Positive,
1336560,1.99,53896,Indie,Mixed,
1131240,14.99,53893,Indie,Mixed,
3112260,19.99,53882,AAA,Mostly Positive,
3358510,9.99,53877,Indie,Mixed,
1597730,2.99,53869,Indie,Overwhelmingly Positive,
1077520,4.99,53853,Indie,Very Positive,
1357610,2.99,53852,Indie,Mostly Positive,
802870,24.99,53846,Indie,Overwhelmingly Positive,
